tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt0399102,movie,Godzilla: Final Wars,Gojira: Fainaru uôzu,0,2004,\N,Action Adventure Fantasy,6.4,7885,Godzilla: Final Wars (2004),https://www.imdb.com/title/tt0399102/
tt0366526,movie,Godzilla: Tokyo S.O.S.,Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.,0,2003,\N,Action Adventure Fantasy,6.6,3968,Godzilla: Tokyo S.O.S. (2003),https://www.imdb.com/title/tt0366526/
tt1054122,movie,Goemon,Goemon,0,2009,\N,Action Drama History,6.7,5222,Goemon (2009),https://www.imdb.com/title/tt1054122/
tt4257858,movie,Going Clear: Scientology & the Prison of Belief,Going Clear: Scientology & the Prison of Belief,0,2015,\N,Documentary,8.0,37459,Going Clear: Scientology & the Prison of Belief (2015),https://www.imdb.com/title/tt4257858/
tt0072353,movie,Going Places,Les valseuses,0,1974,\N,Action Comedy Crime,7.3,8407,Going Places (1974),https://www.imdb.com/title/tt0072353/
tt1219817,tvMiniSeries,Going Postal,Going Postal,0,2010,2010,Adventure Comedy Fantasy,7.7,8486,Going Postal (2010),https://www.imdb.com/title/tt1219817/
tt2568862,movie,Going in Style,Going in Style,0,2017,\N,Comedy Crime,6.6,78335,Going in Style (2017),https://www.imdb.com/title/tt2568862/
tt0079219,movie,Going in Style,Going in Style,0,1979,\N,Comedy Crime Drama,7.1,2898,Going in Style (1979),https://www.imdb.com/title/tt0079219/
tt0489062,movie,Going to Pieces: The Rise and Fall of the Slasher Film,Going to Pieces: The Rise and Fall of the Slasher Film,0,2006,\N,Documentary Horror,7.2,3355,Going to Pieces: The Rise and Fall of the Slasher Film (2006),https://www.imdb.com/title/tt0489062/
tt0182916,movie,Gol Krali,Gol Krali,0,1981,\N,Action Comedy Romance,6.9,3452,Gol Krali (1981),https://www.imdb.com/title/tt0182916/
tt1800302,movie,Gold,Gold,0,2016,\N,Crime Drama,6.7,58916,Gold (2016),https://www.imdb.com/title/tt1800302/
tt1800864,tvSeries,Gold Rush,Gold Rush: Alaska,0,2010,\N,Reality-TV,7.3,4325,Gold Rush (2010– ),https://www.imdb.com/title/tt1800864/
tt1804642,movie,Gold and Copper,Tala va mes,0,2010,\N,Drama,7.2,3099,Gold and Copper (2010),https://www.imdb.com/title/tt1804642/
tt2229167,tvSeries,Golden Boy,Golden Boy,0,2013,2013,Crime Drama,7.2,3751,Golden Boy (2013),https://www.imdb.com/title/tt2229167/
tt0159145,tvMiniSeries,Golden Boy,Golden Boy: Sasurai no o-benkyô yarô,0,1995,1996,Animation Comedy,8.0,4633,Golden Boy (1995–1996),https://www.imdb.com/title/tt0159145/
tt0465188,movie,Golden Door,Nuovomondo,0,2006,\N,Drama History Romance,6.9,4806,Golden Door (2006),https://www.imdb.com/title/tt0465188/
tt0113189,movie,GoldenEye,GoldenEye,0,1995,\N,Action Adventure Thriller,7.2,241444,GoldenEye (1995),https://www.imdb.com/title/tt0113189/
tt0058150,movie,Goldfinger,Goldfinger,0,1964,\N,Action Adventure Thriller,7.7,176446,Goldfinger (1964),https://www.imdb.com/title/tt0058150/
tt4911996,movie,Goldstone,Goldstone,0,2016,\N,Crime Thriller,6.5,4944,Goldstone (2016),https://www.imdb.com/title/tt4911996/
tt0086148,movie,Golgo 13: The Professional,Golgo 13,0,1983,\N,Action Animation Crime,6.8,2777,Golgo 13: The Professional (1983),https://www.imdb.com/title/tt0086148/
tt4687880,tvSeries,Goliath,Goliath,0,2016,\N,Drama,8.1,34549,Goliath (2016– ),https://www.imdb.com/title/tt4687880/
tt0495034,movie,Golmaal: Fun Unlimited,Golmaal: Fun Unlimited,0,2006,\N,Action Comedy Drama,7.4,15340,Golmaal: Fun Unlimited (2006),https://www.imdb.com/title/tt0495034/
tt0057752,tvSeries,Gomer Pyle: USMC,Gomer Pyle: USMC,0,1964,1969,Comedy War,7.0,2978,Gomer Pyle: USMC (1964–1969),https://www.imdb.com/title/tt0057752/
tt0929425,movie,Gomorrah,Gomorra,0,2008,\N,Crime Drama,7.0,46904,Gomorrah (2008),https://www.imdb.com/title/tt0929425/
tt2049116,tvSeries,Gomorrah,Gomorra: La serie,0,2014,\N,Crime Drama Thriller,8.6,31085,Gomorrah (2014– ),https://www.imdb.com/title/tt2049116/
tt0452623,movie,Gone Baby Gone,Gone Baby Gone,0,2007,\N,Crime Drama Mystery,7.6,254192,Gone Baby Gone (2007),https://www.imdb.com/title/tt0452623/
tt2267998,movie,Gone Girl,Gone Girl,0,2014,\N,Drama Mystery Thriller,8.1,880975,Gone Girl (2014),https://www.imdb.com/title/tt2267998/
tt0342965,video,Gone Nutty,Gone Nutty,0,2002,\N,Adventure Animation Comedy,7.4,3750,Gone Nutty (2002– ),https://www.imdb.com/title/tt0342965/
tt0187078,movie,Gone in 60 Seconds,Gone in Sixty Seconds,0,2000,\N,Action Crime Thriller,6.5,263436,Gone in 60 Seconds (2000),https://www.imdb.com/title/tt0187078/
tt0071571,movie,Gone in 60 Seconds,Gone in 60 Seconds,0,1974,\N,Action Crime Drama,6.4,8497,Gone in 60 Seconds (1974),https://www.imdb.com/title/tt0071571/
tt5606538,movie,Gongjo,Gongjo,0,2017,\N,Action Comedy Drama,6.6,2728,Gongjo (2017),https://www.imdb.com/title/tt5606538/
tt0479468,movie,Gonzo,Gonzo: The Life and Work of Dr. Hunter S. Thompson,0,2008,\N,Biography Documentary Music,7.7,7626,Gonzo (2008),https://www.imdb.com/title/tt0479468/
tt4855114,tvSeries,Good Behavior,Good Behavior,0,2016,2017,Crime Drama Mystery,8.1,9839,Good Behavior (2016–2017),https://www.imdb.com/title/tt4855114/
tt6977338,movie,Good Boys,Good Boys,0,2019,\N,Adventure Comedy,6.7,63288,Good Boys (2019),https://www.imdb.com/title/tt6977338/
tt0301357,movie,Good Bye Lenin!,Good Bye Lenin!,0,2003,\N,Comedy Drama Romance,7.7,139596,Good Bye Lenin! (2003),https://www.imdb.com/title/tt0301357/
tt2876428,movie,"Good Day, Ramon","Guten Tag, Ramón",0,2013,\N,Drama,7.6,2788,"Good Day, Ramon (2013)",https://www.imdb.com/title/tt2876428/
tt0944101,movie,Good Dick,Good Dick,0,2008,\N,Comedy Drama Romance,6.4,7813,Good Dick (2008),https://www.imdb.com/title/tt0944101/
tt0344651,tvSeries,Good Eats,Good Eats,0,1999,2012,Comedy Documentary,8.9,3390,Good Eats (1999–2012),https://www.imdb.com/title/tt0344651/
tt6474378,tvSeries,Good Girls,Good Girls,0,2018,\N,Comedy Crime Drama,7.8,36025,Good Girls (2018– ),https://www.imdb.com/title/tt6474378/
tt4687892,tvSeries,Good Girls Revolt,Good Girls Revolt,0,2015,2016,Drama,8.2,5315,Good Girls Revolt (2015–2016),https://www.imdb.com/title/tt4687892/
tt1213585,movie,Good Hair,Good Hair,0,2009,\N,Comedy Documentary,6.9,5667,Good Hair (2009),https://www.imdb.com/title/tt1213585/
tt3297330,movie,Good Kill,Good Kill,0,2014,\N,Drama Thriller War,6.4,22827,Good Kill (2014),https://www.imdb.com/title/tt3297330/
tt1415889,tvSeries,Good Luck Charlie,Good Luck Charlie,0,2010,2014,Comedy Drama Family,7.0,19200,Good Luck Charlie (2010–2014),https://www.imdb.com/title/tt1415889/
